member,phrase,augmentation,timestamp,sample_rate,duration,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_std_0,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,spectral_rolloff_mean,spectral_rolloff_std,energy_mean,energy_std,zcr_mean,zcr_std,spectral_centroid_mean,spectral_centroid_std,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11
Erneste,yes_approve,Original,2025-11-13 11:49:19,48000,2.944,-544.000244140625,64.12571716308594,-7.2607035636901855,10.644254684448242,2.161496639251709,-11.036328315734863,1.870034098625183,-1.4235455989837646,0.06197436898946762,3.824456214904785,-1.7062386274337769,0.9496412873268127,-5.586241722106934,123.01173400878906,79.62769317626953,39.16204071044922,27.01271629333496,22.68852996826172,18.579923629760742,22.40400505065918,8.519623756408691,9.866886138916016,12.227012634277344,6.608542442321777,6.5973219871521,11.659372329711914,6776.145081227437,5795.19127354052,0.0142969275,0.027131196,0.05167143783844765,0.06600573000059155,3314.9565044606225,2539.1946937869793,0.3775148093700409,0.3806723952293396,0.38404619693756104,0.4473060071468353,0.5073627233505249,0.3748742341995239,0.3676825761795044,0.3930288255214691,0.43983399868011475,0.5024283528327942,0.4979492127895355,0.39878028631210327
Erneste,yes_approve,Pitch_Shift_+2st,2025-11-13 11:49:19,48000,2.944,-576.9348754882812,62.546634674072266,-9.94750690460205,11.298632621765137,-2.9948480129241943,-9.66276741027832,4.657270431518555,-2.136453628540039,1.5628712177276611,0.4475948214530945,-4.614344596862793,-3.242403984069824,-10.853988647460938,126.01535034179688,76.87674713134766,36.98116683959961,30.247039794921875,23.90043830871582,15.376310348510742,20.980709075927734,13.997471809387207,7.912260055541992,11.23077392578125,8.089921951293945,9.145318031311035,17.24724578857422,6884.786777978339,5307.4113979413205,0.010620149,0.02093163,0.09603099616425993,0.08368687165124673,3459.6467257709314,2451.8002919728606,0.5263181328773499,0.41765570640563965,0.3526628911495209,0.3503912091255188,0.40434136986732483,0.4494306445121765,0.4771694242954254,0.3737708032131195,0.3750390112400055,0.3989805281162262,0.4395350217819214,0.5113433599472046
Erneste,yes_approve,Time_Stretch_1.2x,2025-11-13 11:49:19,48000,2.453333333333333,-601.0647583007812,72.3330307006836,-10.830731391906738,11.885284423828125,2.415065050125122,-13.162341117858887,2.5957095623016357,-1.170006275177002,0.25408855080604553,4.4435529708862305,-2.8379037380218506,0.5605924725532532,-5.633561134338379,133.2249298095703,84.51327514648438,40.268001556396484,28.998706817626953,23.45203971862793,19.3881893157959,23.144088745117188,8.853609085083008,10.983061790466309,12.555198669433594,7.589478969573975,6.61793851852417,12.030813217163086,6738.9407467532465,5568.856543128037,0.009430062,0.01651016,0.08896864853896104,0.07601319056338486,3348.7834660014382,2454.743340212684,0.349719375371933,0.3432486355304718,0.3586801290512085,0.43235546350479126,0.48094630241394043,0.34210047125816345,0.34273603558540344,0.4024318754673004,0.4435867369174957,0.48675835132598877,0.4806237518787384,0.38109779357910156
Erneste,yes_approve,Background_Noise,2025-11-13 11:49:19,48000,2.944,-326.48658525366596,17.952035470009633,2.8710201788555203,6.881264890061061,1.879620568297206,-3.0965103553911293,0.29399186172174147,-1.0558247999868082,-0.3591404805849566,1.3497000724362758,-0.23403587611433285,-0.2651661704181577,-3.6994569003886246,48.676585244475355,39.35057803644026,19.35428847797684,17.521614908555875,17.43305092667598,12.065232885876409,13.483267781776116,6.29806445863179,7.493258505486557,7.8752139529944145,5.264169249401608,5.0206125435532964,8.771797834173949,18303.841380866426,4012.0148258709614,0.017623095,0.025605608,0.3812524678474729,0.16746655241297037,10216.054221158256,2722.805254400835,0.6478671347646355,0.6331780621984757,0.6538919538145449,0.7112495165371164,0.6851055083596539,0.6585879430694445,0.6403007314195877,0.6328261874395127,0.6898148623064053,0.7287029322128109,0.6995317033745552,0.6716340603584646
Erneste,confirm_transaction,Original,2025-11-13 11:49:19,48000,2.7946666666666666,-491.8795471191406,112.3077163696289,-11.774263381958008,1.2792924642562866,1.9425212144851685,-9.908913612365723,2.8966269493103027,-1.7510507106781006,-1.559098482131958,-0.3311332166194916,-6.297130107879639,-0.5303859114646912,-5.59700345993042,145.53103637695312,100.37923431396484,49.59474182128906,25.325780868530273,13.99964714050293,17.232921600341797,23.515708923339844,10.11747932434082,11.16010570526123,11.873930931091309,11.215463638305664,10.359200477600098,9.137953758239746,4634.208650190114,4955.183811672102,0.025739444,0.03480119,0.04355914329847909,0.05328988083584624,2243.9113979041317,2107.245304628578,0.36984771490097046,0.4030400812625885,0.4510108530521393,0.44758403301239014,0.3432215452194214,0.27369216084480286,0.31083860993385315,0.3472681939601898,0.39447176456451416,0.4606909453868866,0.3905690908432007,0.3350507616996765
Erneste,confirm_transaction,Pitch_Shift_+2st,2025-11-13 11:49:20,48000,2.7946666666666666,-516.5342407226562,105.09476470947266,-18.100353240966797,2.932739734649658,-1.8352391719818115,-8.87764835357666,3.4106335639953613,-4.511931896209717,-1.1118247509002686,-3.7605361938476562,-5.8551836013793945,-0.852327287197113,-8.04673957824707,144.79837036132812,92.84228515625,50.099239349365234,23.407155990600586,16.699586868286133,17.50830078125,20.35011100769043,15.84211254119873,8.237846374511719,12.097428321838379,12.164599418640137,9.359591484069824,9.98864459991455,4792.924192015209,4587.853137309293,0.017388377,0.023655446,0.06411708353136882,0.07012362547033148,2407.879276453224,2098.712322288528,0.3778512477874756,0.3320438265800476,0.34873759746551514,0.37723949551582336,0.45634961128234863,0.4125915765762329,0.3051009476184845,0.24844960868358612,0.28761884570121765,0.3332322835922241,0.39528119564056396,0.45694679021835327
Erneste,confirm_transaction,Time_Stretch_1.2x,2025-11-13 11:49:20,48000,2.328895833333333,-517.0496826171875,110.85800170898438,-12.204207420349121,1.9543448686599731,1.8692312240600586,-10.377738952636719,2.534745693206787,-2.0818872451782227,-1.0523804426193237,-0.0004666820459533483,-6.749204635620117,-0.14746783673763275,-4.795843601226807,141.5160675048828,96.65731811523438,48.38248825073242,25.11618423461914,13.362671852111816,16.30743980407715,23.382850646972656,10.798835754394531,12.239656448364258,11.459271430969238,11.4663724899292,10.090706825256348,8.111837387084961,4482.662671232877,4583.941186342133,0.016560271,0.02214832,0.05885015339611872,0.061404806113635226,2224.7926975244964,1985.7816305046833,0.37029364705085754,0.39170604944229126,0.41104039549827576,0.402643620967865,0.32367512583732605,0.2609500586986542,0.2962977886199951,0.3375951945781708,0.40383628010749817,0.4776841700077057,0.38826027512550354,0.3235556185245514
Erneste,confirm_transaction,Background_Noise,2025-11-13 11:49:20,48000,2.7946666666666666,-298.27895747698625,44.76582028951286,5.739540258083444,-0.7990144747151084,-1.536044434913915,-2.5657447030022165,-0.03731489188381393,-1.453504894501872,-0.5265495169043314,-1.2009137936655603,-2.994816811329261,-1.4936560669864598,-2.928169497357544,63.076793492418375,54.954294648703765,28.54784484619625,16.682257465329243,8.650184066101462,11.321441041744816,15.182932704671025,7.2591875509712445,7.595366209023621,7.990929995023542,7.222475313586043,8.151419163873042,5.9419219773827185,16712.274239543727,4983.940000578587,0.028126009,0.0332885,0.2879726859553232,0.19297735936189653,8769.86024283286,3344.08254625187,0.5919879082581884,0.6131011347427844,0.6622881394538601,0.6524405413373852,0.5433428699738405,0.514524008644634,0.5264798194614175,0.5203979560230424,0.5774187890476432,0.6375554579177912,0.5914307909377885,0.5637275702772238
Thierry,yes_approve,Original,2025-11-13 11:49:20,44100,3.6687528344671203,-494.8173828125,71.41426086425781,20.641136169433594,23.78990936279297,1.680372953414917,8.651108741760254,-1.0627315044403076,-0.7615754008293152,-0.10150232911109924,1.6375985145568848,3.7506046295166016,-5.1414384841918945,-8.819808959960938,121.89897155761719,63.455379486083984,27.426258087158203,28.3004150390625,19.537960052490234,16.924560546875,11.649636268615723,8.420340538024902,10.699821472167969,9.115716934204102,7.823507308959961,6.370798110961914,9.817252159118652,10939.20682792784,6059.810218003123,0.016520195,0.0339026,0.12679755274053628,0.09994317382158087,4812.429558532775,2608.3813309025477,0.5373769402503967,0.5474198460578918,0.4773259162902832,0.4522360861301422,0.45509088039398193,0.4524552524089813,0.4287627339363098,0.4393804967403412,0.4244075119495392,0.4282602369785309,0.5115149021148682,0.5157938003540039
Thierry,yes_approve,Pitch_Shift_+2st,2025-11-13 11:49:20,44100,3.6687528344671203,-536.8972778320312,74.60135650634766,19.98396873474121,20.48088836669922,-0.45796045660972595,7.423819065093994,-3.5323872566223145,0.02873966470360756,-0.2111659049987793,2.117372989654541,-1.373793601989746,-9.960487365722656,-2.9945590496063232,130.14601135253906,65.03857421875,23.516010284423828,28.829208374023438,18.913497924804688,14.64469051361084,15.315790176391602,10.352644920349121,11.168171882629395,7.923060894012451,6.948780059814453,10.172492980957031,8.676019668579102,11078.119762914037,5776.5171191420395,0.011127624,0.021911763,0.12940685380520506,0.11355341285770267,4908.304595634329,2622.411584825968,0.5052860379219055,0.5086050629615784,0.5364847183227539,0.5393195152282715,0.4632589519023895,0.4284785985946655,0.40946826338768005,0.3920864164829254,0.4307946562767029,0.4545004963874817,0.42393484711647034,0.43531346321105957
